Training on cuda
Start Training
Epoch 1/50, Loss: 0.001610
Epoch 2/50, Loss: 0.000613
Epoch 3/50, Loss: 0.000403
Epoch 4/50, Loss: 0.000316
Epoch 5/50, Loss: 0.000279
Epoch 6/50, Loss: 0.000238
Epoch 7/50, Loss: 0.000211
Epoch 8/50, Loss: 0.000193
Epoch 9/50, Loss: 0.000185
Epoch 10/50, Loss: 0.000169
Epoch 11/50, Loss: 0.000159
Epoch 12/50, Loss: 0.000148
Epoch 13/50, Loss: 0.000139
Epoch 14/50, Loss: 0.000136
Epoch 15/50, Loss: 0.000130
Epoch 16/50, Loss: 0.000122
Epoch 17/50, Loss: 0.000113
Epoch 18/50, Loss: 0.000110
Epoch 19/50, Loss: 0.000108
Epoch 20/50, Loss: 0.000102
Epoch 21/50, Loss: 0.000105
Epoch 22/50, Loss: 0.000102
Epoch 23/50, Loss: 0.000094
Epoch 24/50, Loss: 0.000093
Epoch 25/50, Loss: 0.000090
Epoch 26/50, Loss: 0.000092
Epoch 27/50, Loss: 0.000090
Epoch 28/50, Loss: 0.000090
Epoch 29/50, Loss: 0.000082
Epoch 30/50, Loss: 0.000082
Epoch 31/50, Loss: 0.000079
Epoch 32/50, Loss: 0.000079
Epoch 33/50, Loss: 0.000077
Epoch 34/50, Loss: 0.000075
Epoch 35/50, Loss: 0.000072
Epoch 36/50, Loss: 0.000073
Epoch 37/50, Loss: 0.000075
Epoch 38/50, Loss: 0.000075
Epoch 39/50, Loss: 0.000072
Epoch 40/50, Loss: 0.000071
Epoch 41/50, Loss: 0.000071
Epoch 42/50, Loss: 0.000067
Epoch 43/50, Loss: 0.000069
Epoch 44/50, Loss: 0.000067
Epoch 45/50, Loss: 0.000066
Epoch 46/50, Loss: 0.000067
Epoch 47/50, Loss: 0.000067
Epoch 48/50, Loss: 0.000063
Epoch 49/50, Loss: 0.000061
Epoch 50/50, Loss: 0.000062
Saved validation set to val_data.npz
done
